This is the conserved top predictions for different trainning data sets(from 0.5-5 fold of negative samples of positive samples) 
The conserved top prediction number is -9571861(16, 49)
(16, 165)
(16, 256)
(16, 322)
(16, 435)
(43, 49)
(43, 288)
(48, 278)
(48, 430)
(48, 460)
(50, 49)
(50, 278)
(50, 288)
(58, 322)
(58, 430)
(85, 49)
(93, 12)
(93, 309)
(93, 394)
(93, 435)
(93, 460)
(101, 243)
(101, 278)
(101, 407)
(101, 430)
(101, 460)
(110, 26)
(110, 49)
(110, 288)
(120, 223)
(120, 278)
(120, 366)
(120, 407)
(120, 460)
(125, 49)
(125, 165)
(125, 278)
(125, 288)
(125, 435)
(144, 49)
(144, 326)
(144, 368)
(148, 26)
(148, 49)
(148, 139)
(148, 278)
(148, 288)
(148, 328)
(148, 430)
(148, 460)
(174, 394)
(175, 164)
(175, 165)
(175, 309)
(175, 328)
(175, 435)
(175, 460)
(183, 49)
(183, 288)
(184, 165)
(185, 278)
(195, 288)
(225, 98)
(225, 309)
(289, 26)
(289, 49)
(289, 232)
(289, 278)
(289, 322)
(289, 435)
(289, 460)
(289, 461)
(306, 26)
(306, 49)
(310, 49)
(316, 49)
(316, 165)
(316, 322)
(316, 460)
(329, 26)
(329, 49)
(329, 139)
(329, 288)
(329, 328)
(329, 368)
(330, 165)
(330, 435)
(330, 460)
(388, 49)
(388, 273)
(388, 288)
(396, 49)
(431, 460)
(455, 49)
(455, 278)
(477, 430)
(506, 288)
(523, 26)
(523, 49)
(523, 288)
(564, 460)
(567, 49)
(569, 12)
(569, 165)
(569, 309)
(569, 328)
(569, 460)
(588, 26)
(588, 49)
(588, 278)
(588, 322)
(588, 366)
(588, 430)
(588, 460)
(597, 26)
(597, 49)
(597, 139)
(597, 278)
(597, 322)
(597, 366)
(616, 223)
(616, 278)
(616, 358)
(616, 430)
(616, 460)
(616, 1166)
(624, 278)
(624, 407)
(624, 430)
(624, 442)
(624, 460)
(669, 256)
(672, 49)
(672, 288)
(694, 26)
(694, 49)
(694, 139)
(694, 278)
(694, 374)
(694, 430)
(694, 460)
